Average_rating_F,Average_dist_F,Average_rating_Y,Average_distance_Y,Free Bikes
8.059999999999999,926.8,4.4350000000000005,879.3359428410289,0
9.259999999999996,560.7,4.724999999999999,532.596302913699,2
8.09,755.9,4.465,919.578829515396,1
6.8,814.2,4.495,1107.1317362981667,0
8.07,852.0,4.52,901.3957489812432,2
7.4,697.1,4.154999999999999,801.5639178241236,0
9.259999999999996,499.8,4.769999999999998,574.076455022054,1
7.470000000000001,627.2,3.655555555555556,795.494328535709,0
8.63,877.8,4.51,1113.2489862657833,0
7.3,751.4,3.46,858.2559160521236,0
9.22,712.0,4.724999999999999,722.7932252109738,6
,754.0,3.98,633.5719137384752,0
8.879999999999999,728.6,4.65,940.0792424201024,0
8.12,733.6,4.279999999999999,739.7115741233516,4
8.97,768.1,4.5950000000000015,857.7828930824624,3
8.09,778.0,4.565,906.5454753391662,0
9.209999999999996,547.7,4.744999999999998,593.8683124979104,2
,459.5,4.44,1026.2931879223136,3
9.04,674.1,4.630000000000001,782.5862999243961,3
8.03,839.9,4.499999999999999,949.3130952846744,0
9.239999999999998,513.6,4.749999999999998,606.0880505318023,0
7.390000000000001,816.6,4.345,825.2761078142187,0
9.19,467.8,4.705,557.0629447504325,1
9.18,680.9,4.744999999999998,727.8396318638239,0
9.239999999999998,558.3,4.749999999999998,659.9123989534721,6
7.0200000000000005,804.1,4.4350000000000005,871.2942115986182,0
8.32,900.4,4.554999999999999,957.7002720366138,0
7.790000000000001,854.5,4.610000000000001,900.0790159431517,16
,537.6,4.51,1134.9759749779234,0
9.169999999999998,582.0,4.7,642.7005074684221,3
9.03,844.2,4.640000000000002,805.7771823195767,0
8.22,674.1,4.429999999999999,947.3936414721896,4
7.659999999999999,779.9,4.62,910.2666413238348,0
9.259999999999996,513.4,4.769999999999998,581.6881344995162,2
6.710000000000001,781.3,4.33,686.7478043262083,1
,664.5,4.023076923076923,768.5272409342247,0
7.130000000000001,816.1,3.825,641.7166260830461,2
6.720000000000001,870.4,4.26,925.6979468405798,0
6.5,858.5,3.86,615.0177780596146,0
7.92,782.9,4.365,886.7556878567997,0
6.649999999999999,746.1,3.61,898.8775857120094,0
9.2,603.9,4.69,655.895497861789,4
9.209999999999996,734.2,4.739999999999998,850.2273522356915,0
9.14,598.6,4.74,778.2975052710902,0
7.150000000000001,796.8,4.17,860.1603868456648,0
7.709999999999999,600.7,4.21,454.3947563006133,14
9.239999999999998,496.8,4.749999999999998,584.0401153975174,0
,459.1,3.72,834.0967514471212,0
6.19,398.6,3.353333333333333,802.826816947834,0
6.459999999999999,687.8,3.42,493.6296452457256,0
8.41,822.1,4.424999999999999,1131.8135577516928,12
9.259999999999996,677.1,4.754999999999997,690.5594928490826,8
9.14,504.1,4.715,605.811580624136,3
8.22,786.0,4.500000000000001,941.279201206991,13
6.5200000000000005,732.1,4.27,737.8233678245975,0
7.56,721.8,4.445000000000001,935.7365905435043,0
8.6,585.1,4.404999999999999,493.35394230048223,11
9.209999999999996,589.9,4.744999999999998,617.1889868665414,0
8.51,716.1,4.419999999999999,764.5843961776625,2
6.74,692.2,4.424999999999999,860.0082018166446,3
9.219999999999995,588.3,4.69,674.7580550055002,2
9.17,452.5,4.704999999999999,655.792091823856,1
8.31,577.0,4.264999999999999,655.1243481749315,7
9.259999999999996,521.2,4.724999999999999,471.6861015287975,0
8.4,485.3,4.45,718.5328423864551,9
8.57,742.6,4.404999999999999,704.2899256668576,0
,863.0,3.5875,985.2972915163108,0
,1020.3,3.588235294117647,917.2433403154524,0
7.659999999999999,812.7,4.595000000000001,895.4370446472321,0
8.31,671.1,4.33,660.2916117208906,4
6.290000000000001,820.3,4.244999999999999,675.7006775667139,0
8.02,772.6,4.445,912.4983214661884,2
6.739999999999999,768.6,4.125,742.5380020696284,0
9.110000000000005,804.2,4.705,852.5393747469068,3
,652.5,4.095000000000001,872.7788792949805,0
8.370000000000001,720.6,4.479999999999999,812.3823901333761,4
6.82,625.8,4.075,956.524146888651,7
9.13,626.6,4.71,685.9091870763384,0
8.3,583.2,4.374999999999999,750.912025215314,0
9.259999999999996,515.3,4.724999999999999,469.4534809674463,0
9.090000000000002,579.7,4.725,744.1344892924922,4
9.14,587.0,4.744999999999999,746.1817677119006,4
9.179999999999998,612.6,4.7,704.837956001769,0
9.169999999999998,549.5,4.7,619.7782624388992,1
,710.5,3.433333333333333,1055.8528655486205,0
9.209999999999996,559.4,4.744999999999998,605.1118477476739,3
9.01,709.5,4.610000000000002,869.7514655419722,3
9.2,546.2,4.744999999999998,617.7263595165166,0
7.51,732.6,3.98,801.8055979513877,0
9.209999999999996,580.7,4.744999999999998,608.1741964222869,0
8.71,775.7,4.519999999999999,921.519985930044,6
9.13,742.4,4.695,871.1423756714548,7
8.220000000000002,744.4,4.584999999999999,894.6534304180728,5
,571.6,4.55,1064.5947844546206,0
8.08,726.2,4.48,783.2611043790038,0
8.93,858.2,4.585,863.0495050298521,0
9.16,736.3,4.6850000000000005,744.8964773071963,1
,460.1,3.857142857142857,502.4290088354073,0
7.55,716.4,3.75,466.17065885984414,0
7.840000000000001,690.1,3.533333333333333,798.9409770341753,0
,715.4,3.875,780.7450529740836,0
8.09,621.6,4.575,1086.2254843357464,0
9.17,522.5,4.749999999999998,754.9509455725894,6
,620.4,3.99,847.9118297257962,6
9.179999999999998,675.4,4.7,758.8091833441894,3
7.38,883.9,4.645000000000001,1000.367029179754,7
7.45,331.7,4.185,489.04875764107,5
,740.0,3.87,586.997014858315,0
8.469999999999999,763.0,4.489999999999999,963.5490296049096,0
7.5,425.7,3.7142857142857135,615.4463919451797,0
7.52,781.9,4.22,833.852642274271,0
9.259999999999996,666.8,4.744999999999998,677.3723860300331,0
9.209999999999996,522.7,4.744999999999998,580.1145957737882,0
8.13,468.5,4.529999999999999,449.419457683766,1
8.190000000000001,624.1,4.514999999999999,805.9938300799838,1
6.63,886.5,3.985,727.1889014187084,0
6.980000000000001,900.9,4.475,1083.963339548042,4
9.090000000000002,739.0,4.625000000000001,871.9116378445517,0
9.209999999999996,601.4,4.749999999999998,678.2513800463937,4
,462.5,3.85,1006.11953348008,3
7.5,397.0,3.954545454545455,756.1767889843103,0
9.209999999999996,584.5,4.774999999999999,719.640881336134,0
7.779999999999999,776.8,4.01,728.7152560301504,0
8.21,908.8,4.14,733.6217211386987,4
8.05,490.7,4.04,503.07707269817047,3
9.15,459.1,4.735,575.4301728590486,2
9.11,659.6,4.67,816.8620733368815,7
9.11,782.1,4.590000000000002,869.7178198136542,2
9.239999999999998,474.9,4.769999999999998,586.9119412632319,0
8.16,843.3,4.47,841.7330925111613,2
9.03,770.3,4.65,881.8288080870107,0
9.239999999999998,523.9,4.769999999999998,627.6148007508186,2
6.579999999999998,654.6,3.815384615384616,753.8199147636623,0
7.019999999999999,692.3,3.73,669.5785953331088,2
8.57,589.5,4.404999999999999,551.5187386174533,6
7.92,733.8,3.875,715.1642214709543,0
7.12,706.9,4.17,898.4710172006032,0
6.99,836.6,3.261111111111111,1014.43138838642,3
8.63,680.5,4.479999999999999,728.901064534372,0
7.77,924.1,4.44,847.6269456088418,7
8.47,730.6,4.365,760.4876188157699,13
8.84,861.7,4.5550000000000015,760.0244344691193,0
6.660000000000001,763.2,3.785,533.4420966826353,0
8.58,889.5,4.635,906.94721102417,7
7.130000000000001,757.8,4.465000000000001,861.2784547106605,3
7.92,638.3,4.315,803.4266881887088,4
8.57,843.0,4.404999999999999,916.970482395078,9
7.44,413.4,4.185,548.5623792135369,3
8.18,498.7,4.59,562.7653409192282,2
,513.7,4.015,791.0300916894191,5
9.080000000000002,665.2,4.675,728.7588610316012,0
7.659999999999999,689.1,3.98,911.8156675004566,0
7.1,829.1,3.506666666666667,786.5776260790589,0
7.330000000000001,378.8,4.380000000000001,632.495102143676,2
8.1,820.0,4.414999999999999,926.2605375175624,0
7.6,809.9,3.9499999999999993,827.4965665094129,0
7.12,701.0,4.365,968.7833752360806,0
7.69,845.1,3.98,706.9315143443032,3
9.23,642.3,4.744999999999998,664.9537714368372,0
8.16,387.9,4.08,624.4405444578617,4
9.259999999999996,541.3,4.724999999999999,483.4484382310243,1
6.790000000000001,879.8,4.03,683.3936395157712,3
7.639999999999998,833.0,4.57,1032.5087716353962,0
9.18,538.7,4.725,635.7121795654521,0
8.14,588.4,4.525,556.1599947456332,5
7.859999999999999,677.8,4.7,1070.040801386011,0
9.179999999999998,572.9,4.69,689.8287385203761,7
,535.6,4.329999999999999,1226.8321118031422,2
8.25,909.8,4.515000000000001,911.2023819415735,6
8.51,800.4,4.399999999999999,785.3849142549686,0
,787.2,4.415,904.4393701568227,0
8.6,561.9,4.43,576.475202302481,0
9.179999999999998,725.9,4.714999999999999,831.599175585496,7
,685.6,4.404999999999999,668.6449594742986,0
8.1,667.3,4.525,689.4392886870235,6
9.239999999999998,561.1,4.749999999999998,665.2622529130958,2
8.4,733.6,4.555,920.5626931196796,0
,751.5,3.3,875.203641796909,0
6.98,728.2,4.17,924.8532819945356,0
8.48,857.8,4.604999999999999,986.8482886094624,0
9.179999999999998,571.7,4.69,681.4842109783926,5
6.69,639.5,3.5200000000000005,789.9184430191103,0
,615.2,3.65,931.5763402963548,0
6.69,611.8,3.4222222222222225,815.3721488386232,0
,623.4,3.65,925.8892728838332,0
6.56,699.9,3.7923076923076926,820.5984456507935,0
6.76,764.1,3.7,742.482179983456,0
6.489999999999999,808.4,3.757142857142857,814.1572325444262,2
8.6,690.5,4.469999999999999,794.0219473874955,0
,744.7777777777778,3.4714285714285715,864.8164987952667,0
9.209999999999996,572.5,4.744999999999998,601.0716126433024,2
8.18,826.2,3.8461538461538463,916.05737300819,0
8.24,603.5,4.614999999999999,671.871953043901,0
8.190000000000001,594.0,4.549999999999999,786.425983494988,0
8.570000000000002,712.9,4.464999999999998,759.9217827795177,0
8.25,559.0,4.435,779.2160398448905,3
8.95,792.4,4.610000000000001,782.5025476088472,0
8.66,753.8,4.555,904.0930938759144,0
7.27,621.4,4.345000000000001,762.713914075279,4
8.4,483.6,4.45,739.343881776851,0
8.24,622.2,4.464999999999999,765.3824517501354,3
9.209999999999996,613.8,4.764999999999999,725.2554604319238,1
8.370000000000001,608.1,4.44,774.6479288641865,3
9.209999999999996,657.9,4.764999999999999,765.7032032681552,0
8.879999999999999,800.4,4.615000000000001,756.7934274772641,1
8.280000000000003,298.6,4.214999999999999,547.0585049626584,4
7.45,304.0,4.194999999999999,461.0217020544231,0
9.060000000000002,808.6,4.655,815.692751917766,0
8.799999999999999,745.8,4.550000000000002,808.9921435087916,2
8.14,422.8,4.529999999999999,295.9850366301661,0
9.010000000000002,844.8,4.545000000000002,750.8893513667635,0
8.1,759.2,4.48,744.0274993548235,9
9.209999999999996,757.3,4.729999999999999,782.9945644831218,0
8.279999999999998,774.4,4.470000000000001,941.2566797030285,10
7.709999999999999,620.9,4.23,522.5568865664789,2
9.17,413.2,4.714999999999999,660.088346321927,4
9.04,739.8,4.69,746.4422040738094,2
,609.3,3.923076923076923,825.320661074408,0
7.92,621.8,3.66,704.5025352369288,16
9.15,449.0,4.744999999999999,639.5520588894638,2
7.580000000000001,870.0,3.975,791.3966601578343,6
6.39,320.4,3.2789473684210524,750.6614851519129,1
9.04,686.1,4.650000000000001,702.348444714891,5
,678.8,4.06875,799.7883341175673,0
8.209999999999999,739.6,4.315,790.3832104763447,0
7.77,1089.3,4.27,829.8076258884275,4
7.13,756.3,3.825,735.815708231891,5
6.67,714.1,3.4909090909090907,968.2429415338756,9
7.460000000000001,855.0,4.57,1050.2519705375514,0
9.2,548.2,4.7,562.8160959798724,0
8.04,751.1,4.575,850.718362622921,0
7.25,780.7,4.33,802.8173549888475,0
7.0200000000000005,706.4,4.105,884.9889928841492,5
6.620000000000002,779.1,3.81,556.5456849173505,6
9.169999999999998,585.2,4.71,610.0361601700844,0
9.04,676.4,4.660000000000001,775.4835759922217,7
,559.4,4.31,823.1178369708329,0
9.19,540.3,4.69,609.42821773719,0
6.74,759.5,4.2,799.3368749612707,0
8.100000000000001,497.8,4.54,567.0488945784514,1
7.529999999999999,773.2,4.475,863.6736547490697,2
6.160000000000001,771.6,3.5,778.208775915168,0
7.93,805.5,4.645,1116.409401731497,0
8.520000000000001,897.0,4.365,907.2970104279572,5
9.21,757.9,4.715,724.0212032220604,0
6.69,683.7,4.27,775.8336176295509,3
8.709999999999999,714.1,4.550000000000002,859.2938095895915,1
9.18,597.8,4.7,690.3969051660168,0
8.870000000000001,865.4,4.525,954.546023521868,0
,419.0,4.48,1141.243119874358,0
8.21,683.9,4.4300000000000015,795.7010436265548,0
,475.2,3.607692307692308,993.9986932866898,0
9.179999999999998,738.1,4.729999999999999,867.1442194154349,1
,607.5,3.983333333333333,818.2801907684667,10
6.29,643.4,3.65,883.0675008695513,0
6.33,653.8,3.9818181818181824,915.5583213242434,0
8.190000000000001,700.3,4.414999999999999,811.6619603944943,0
9.259999999999996,575.5,4.724999999999999,548.3921999378542,0
8.14,425.9,4.525,398.53862637346685,5
9.13,721.2,4.67,769.2674228320215,0
9.14,635.1,4.7,721.7463397606889,1
7.8,681.4,4.435,800.1144273707847,3
8.97,828.6,4.574999999999999,838.5862261019996,10
7.709999999999999,618.4,4.23,523.8194966050007,11
9.18,676.2,4.71,725.6322203469359,2
8.66,810.9,4.49,916.7296588335206,0
8.91,761.8,4.394999999999998,888.1101698483428,0
6.459999999999999,599.5,3.42,443.4179436956911,0
7.85,843.5,4.015,1014.1645605740996,0
7.5,501.3,3.7142857142857135,641.7209772348889,0
,429.3,4.364999999999999,1142.1364714559384,1
